model,set,pair,wording,a,b,source,n_readings_per_order,p_a_forward_readings,p_a_reverse_readings,p_a_forward_median,p_a_reverse_median,choice_probability_a,measurable,selected,captured_mass
Llama-3.1-405B,constructed,d1_F-A-D_a|d1_F-A-P_a,a,d1_F-A-D_a,d1_F-A-P_a,NDIF,1,0.9999,0.9820,0.9999,0.9820,0.9910,1,d1_F-A-D_a,1.0000
Llama-3.1-405B,main,d1_A_c|d1_SN_c,c,d1_A_c,d1_SN_c,NDIF,1,0.8670,1.0000,0.8670,1.0000,0.9335,1,d1_A_c,0.9999
Llama-3.1-405B,main,d1_A_c|d1_SS_c,c,d1_A_c,d1_SS_c,NDIF,1,0.9999,1.0000,0.9999,1.0000,1.0000,1,d1_A_c,1.0000
Llama-3.1-405B,main,d1_A_c|d1_S_c,c,d1_A_c,d1_S_c,NDIF,1,0.9954,1.0000,0.9954,1.0000,0.9977,1,d1_A_c,0.9982
Llama-3.1-405B,main,d1_A_c|d1_W_c,c,d1_A_c,d1_W_c,NDIF,1,0.9981,1.0000,0.9981,1.0000,0.9990,1,d1_A_c,1.0000
Llama-3.1-405B,main,d1_D4_a|d1_D12_a,a,d1_D4_a,d1_D12_a,NDIF,1,0.2689,0.9978,0.2689,0.9978,,0,,1.0000
Llama-3.1-405B,main,d1_D4_b|d1_D12_b,b,d1_D4_b,d1_D12_b,NDIF,1,1.0000,0.9999,1.0000,0.9999,0.9999,1,d1_D4_b,1.0000
Llama-3.1-405B,main,d1_D4_c|d1_D12_c,c,d1_D4_c,d1_D12_c,NDIF,1,0.9627,0.9707,0.9627,0.9707,0.9667,1,d1_D4_c,0.9999
Llama-3.1-405B,main,d1_L_a|d1_D12_a,a,d1_L_a,d1_D12_a,NDIF,1,0.5622,0.7058,0.5622,0.7058,0.6340,1,d1_L_a,0.9643
Llama-3.1-405B,main,d1_L_a|d1_D4_a,a,d1_L_a,d1_D4_a,NDIF,1,0.0013,0.9707,0.0013,0.9707,,0,,1.0000
Llama-3.1-405B,main,d1_L_a|d1_Lp_a,a,d1_L_a,d1_Lp_a,NDIF,1,0.0953,0.9999,0.0953,0.9999,,0,,1.0000
Llama-3.1-405B,main,d1_L_a|d1_M_a,a,d1_L_a,d1_M_a,NDIF,1,0.4688,0.9999,0.4688,0.9999,,0,,1.0000
Llama-3.1-405B,main,d1_L_a|d1_SN_a,a,d1_L_a,d1_SN_a,NDIF,1,0.3208,0.9997,0.3208,0.9997,,0,,0.9999
Llama-3.1-405B,main,d1_L_a|d1_SS_a,a,d1_L_a,d1_SS_a,NDIF,1,0.9941,1.0000,0.9941,1.0000,0.9970,1,d1_L_a,1.0000
Llama-3.1-405B,main,d1_L_a|d1_S_a,a,d1_L_a,d1_S_a,NDIF,1,0.8933,1.0000,0.8933,1.0000,0.9466,1,d1_L_a,0.8997
Llama-3.1-405B,main,d1_L_a|d1_W_a,a,d1_L_a,d1_W_a,NDIF,1,0.1330,0.9997,0.1330,0.9997,,0,,0.9999
Llama-3.1-405B,main,d1_L_b|d1_D12_b,b,d1_L_b,d1_D12_b,NDIF,1,0.9994,0.9948,0.9994,0.9948,0.9971,1,d1_L_b,1.0000
Llama-3.1-405B,main,d1_L_b|d1_D4_b,b,d1_L_b,d1_D4_b,NDIF,1,0.0052,0.0032,0.0052,0.0032,0.0042,1,d1_D4_b,1.0000
Llama-3.1-405B,main,d1_L_b|d1_Lp_b,b,d1_L_b,d1_Lp_b,NDIF,1,0.0759,0.9914,0.0759,0.9914,,0,,1.0000
Llama-3.1-405B,main,d1_L_b|d1_M_b,b,d1_L_b,d1_M_b,NDIF,1,0.9994,1.0000,0.9994,1.0000,0.9997,1,d1_L_b,1.0000
Llama-3.1-405B,main,d1_L_b|d1_SN_b,b,d1_L_b,d1_SN_b,NDIF,1,0.5000,0.9999,0.5000,0.9999,,0,,0.9999
Llama-3.1-405B,main,d1_L_b|d1_SS_b,b,d1_L_b,d1_SS_b,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_L_b,1.0000
Llama-3.1-405B,main,d1_L_b|d1_S_b,b,d1_L_b,d1_S_b,NDIF,1,0.9999,1.0000,0.9999,1.0000,0.9999,1,d1_L_b,1.0000
Llama-3.1-405B,main,d1_L_b|d1_W_b,b,d1_L_b,d1_W_b,NDIF,1,0.7058,1.0000,0.7058,1.0000,0.8529,1,d1_L_b,1.0000
Llama-3.1-405B,main,d1_L_c|d1_D12_c,c,d1_L_c,d1_D12_c,NDIF,1,0.2227,0.7058,0.2227,0.7058,,0,,0.9156
Llama-3.1-405B,main,d1_L_c|d1_D4_c,c,d1_L_c,d1_D4_c,NDIF,1,0.0141,0.6514,0.0141,0.6514,,0,,1.0000
Llama-3.1-405B,main,d1_L_c|d1_Lp_c,c,d1_L_c,d1_Lp_c,NDIF,1,0.0180,0.9997,0.0180,0.9997,,0,,0.9999
Llama-3.1-405B,main,d1_L_c|d1_M_c,c,d1_L_c,d1_M_c,NDIF,1,0.0759,0.9999,0.0759,0.9999,,0,,0.9998
Llama-3.1-405B,main,d1_L_c|d1_SN_c,c,d1_L_c,d1_SN_c,NDIF,1,0.1824,0.9997,0.1824,0.9997,,0,,0.9955
Llama-3.1-405B,main,d1_L_c|d1_SS_c,c,d1_L_c,d1_SS_c,NDIF,1,0.3486,0.9999,0.3486,0.9999,,0,,0.9962
Llama-3.1-405B,main,d1_L_c|d1_S_c,c,d1_L_c,d1_S_c,NDIF,1,0.6225,0.9999,0.6225,0.9999,0.8112,1,d1_L_c,0.8212
Llama-3.1-405B,main,d1_L_c|d1_W_c,c,d1_L_c,d1_W_c,NDIF,1,0.3208,0.9996,0.3208,0.9996,,0,,0.9914
Llama-3.1-405B,main,d1_Lp_a|d1_D12_a,a,d1_Lp_a,d1_D12_a,NDIF,1,0.0007,0.9948,0.0007,0.9948,,0,,1.0000
Llama-3.1-405B,main,d1_Lp_a|d1_D4_a,a,d1_Lp_a,d1_D4_a,NDIF,1,0.0009,0.0331,0.0009,0.0331,0.0170,1,d1_D4_a,1.0000
Llama-3.1-405B,main,d1_Lp_a|d1_S_a,a,d1_Lp_a,d1_S_a,NDIF,1,0.0000,0.9890,0.0000,0.9890,,0,,1.0000
Llama-3.1-405B,main,d1_Lp_b|d1_D12_b,b,d1_Lp_b,d1_D12_b,NDIF,1,0.0331,0.9914,0.0331,0.9914,,0,,1.0000
Llama-3.1-405B,main,d1_Lp_b|d1_D4_b,b,d1_Lp_b,d1_D4_b,NDIF,1,0.0002,0.1067,0.0002,0.1067,0.0534,1,d1_D4_b,1.0000
Llama-3.1-405B,main,d1_Lp_b|d1_S_b,b,d1_Lp_b,d1_S_b,NDIF,1,0.0159,0.9985,0.0159,0.9985,,0,,1.0000
Llama-3.1-405B,main,d1_Lp_c|d1_D12_c,c,d1_Lp_c,d1_D12_c,NDIF,1,0.0006,0.9841,0.0006,0.9841,,0,,0.9999
Llama-3.1-405B,main,d1_Lp_c|d1_D4_c,c,d1_Lp_c,d1_D4_c,NDIF,1,0.0003,0.7982,0.0003,0.7982,,0,,0.9999
Llama-3.1-405B,main,d1_Lp_c|d1_S_c,c,d1_Lp_c,d1_S_c,NDIF,1,0.0001,0.9998,0.0001,0.9998,,0,,1.0000
Llama-3.1-405B,main,d1_M_a|d1_D12_a,a,d1_M_a,d1_D12_a,NDIF,1,0.0013,0.8520,0.0013,0.8520,,0,,0.9999
Llama-3.1-405B,main,d1_M_a|d1_D4_a,a,d1_M_a,d1_D4_a,NDIF,1,0.0001,0.8176,0.0001,0.8176,,0,,1.0000
Llama-3.1-405B,main,d1_M_a|d1_Lp_a,a,d1_M_a,d1_Lp_a,NDIF,1,0.0052,0.9998,0.0052,0.9998,,0,,1.0000
Llama-3.1-405B,main,d1_M_a|d1_SS_a,a,d1_M_a,d1_SS_a,NDIF,1,0.0373,0.9325,0.0373,0.9325,,0,,0.9999
Llama-3.1-405B,main,d1_M_a|d1_S_a,a,d1_M_a,d1_S_a,NDIF,1,0.5622,0.9740,0.5622,0.9740,0.7681,1,d1_M_a,0.8935
Llama-3.1-405B,main,d1_M_b|d1_D12_b,b,d1_M_b,d1_D12_b,NDIF,1,0.0000,0.0293,0.0000,0.0293,0.0147,1,d1_D12_b,1.0000
Llama-3.1-405B,main,d1_M_b|d1_D4_b,b,d1_M_b,d1_D4_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_D4_b,1.0000
Llama-3.1-405B,main,d1_M_b|d1_Lp_b,b,d1_M_b,d1_Lp_b,NDIF,1,0.0004,0.9399,0.0004,0.9399,,0,,1.0000
Llama-3.1-405B,main,d1_M_b|d1_SS_b,b,d1_M_b,d1_SS_b,NDIF,1,0.7773,0.9975,0.7773,0.9975,0.8874,1,d1_M_b,0.9989
Llama-3.1-405B,main,d1_M_b|d1_S_b,b,d1_M_b,d1_S_b,NDIF,1,0.0373,0.1330,0.0373,0.1330,0.0851,1,d1_S_b,1.0000
Llama-3.1-405B,main,d1_M_c|d1_D12_c,c,d1_M_c,d1_D12_c,NDIF,1,0.0003,0.9669,0.0003,0.9669,,0,,0.9997
Llama-3.1-405B,main,d1_M_c|d1_D4_c,c,d1_M_c,d1_D4_c,NDIF,1,0.0000,0.0230,0.0000,0.0230,0.0115,1,d1_D4_c,1.0000
Llama-3.1-405B,main,d1_M_c|d1_Lp_c,c,d1_M_c,d1_Lp_c,NDIF,1,0.0003,0.9997,0.0003,0.9997,,0,,1.0000
Llama-3.1-405B,main,d1_M_c|d1_SS_c,c,d1_M_c,d1_SS_c,NDIF,1,0.0010,0.9948,0.0010,0.9948,,0,,0.9999
Llama-3.1-405B,main,d1_M_c|d1_S_c,c,d1_M_c,d1_S_c,NDIF,1,0.3775,0.9914,0.3775,0.9914,,0,,0.8675
Llama-3.1-405B,main,d1_SN_a|d1_D12_a,a,d1_SN_a,d1_D12_a,NDIF,1,0.0260,0.9325,0.0260,0.9325,,0,,1.0000
Llama-3.1-405B,main,d1_SN_a|d1_D4_a,a,d1_SN_a,d1_D4_a,NDIF,1,0.0007,0.9740,0.0007,0.9740,,0,,1.0000
Llama-3.1-405B,main,d1_SN_a|d1_Lp_a,a,d1_SN_a,d1_Lp_a,NDIF,1,0.0851,1.0000,0.0851,1.0000,,0,,1.0000
Llama-3.1-405B,main,d1_SN_a|d1_M_a,a,d1_SN_a,d1_M_a,NDIF,1,0.7311,0.9990,0.7311,0.9990,0.8650,1,d1_SN_a,1.0000
Llama-3.1-405B,main,d1_SN_a|d1_SS_a,a,d1_SN_a,d1_SS_a,NDIF,1,0.9770,0.9992,0.9770,0.9992,0.9881,1,d1_SN_a,1.0000
Llama-3.1-405B,main,d1_SN_a|d1_S_a,a,d1_SN_a,d1_S_a,NDIF,1,0.7982,0.9995,0.7982,0.9995,0.8988,1,d1_SN_a,0.9122
Llama-3.1-405B,main,d1_SN_a|d1_W_a,a,d1_SN_a,d1_W_a,NDIF,1,0.1192,0.9990,0.1192,0.9990,,0,,0.9999
Llama-3.1-405B,main,d1_SN_b|d1_D12_b,b,d1_SN_b,d1_D12_b,NDIF,1,0.0141,0.9241,0.0141,0.9241,,0,,1.0000
Llama-3.1-405B,main,d1_SN_b|d1_D4_b,b,d1_SN_b,d1_D4_b,NDIF,1,0.0000,0.0015,0.0000,0.0015,0.0008,1,d1_D4_b,1.0000
Llama-3.1-405B,main,d1_SN_b|d1_Lp_b,b,d1_SN_b,d1_Lp_b,NDIF,1,0.0331,0.9978,0.0331,0.9978,,0,,1.0000
Llama-3.1-405B,main,d1_SN_b|d1_M_b,b,d1_SN_b,d1_M_b,NDIF,1,0.9933,1.0000,0.9933,1.0000,0.9966,1,d1_SN_b,1.0000
Llama-3.1-405B,main,d1_SN_b|d1_SS_b,b,d1_SN_b,d1_SS_b,NDIF,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,d1_SN_b,1.0000
Llama-3.1-405B,main,d1_SN_b|d1_S_b,b,d1_SN_b,d1_S_b,NDIF,1,0.9149,0.9999,0.9149,0.9999,0.9574,1,d1_SN_b,0.9999
Llama-3.1-405B,main,d1_SN_b|d1_W_b,b,d1_SN_b,d1_W_b,NDIF,1,0.0036,0.9992,0.0036,0.9992,,0,,1.0000
Llama-3.1-405B,main,d1_SN_c|d1_D12_c,c,d1_SN_c,d1_D12_c,NDIF,1,0.0046,0.5927,0.0046,0.5927,,0,,0.9965
Llama-3.1-405B,main,d1_SN_c|d1_D4_c,c,d1_SN_c,d1_D4_c,NDIF,1,0.0001,0.3775,0.0001,0.3775,0.1888,1,d1_D4_c,1.0000
Llama-3.1-405B,main,d1_SN_c|d1_Lp_c,c,d1_SN_c,d1_Lp_c,NDIF,1,0.0032,1.0000,0.0032,1.0000,,0,,1.0000
Llama-3.1-405B,main,d1_SN_c|d1_M_c,c,d1_SN_c,d1_M_c,NDIF,1,0.0759,0.9959,0.0759,0.9959,,0,,0.9998
Llama-3.1-405B,main,d1_SN_c|d1_SS_c,c,d1_SN_c,d1_SS_c,NDIF,1,0.4073,0.9820,0.4073,0.9820,,0,,0.9961
Llama-3.1-405B,main,d1_SN_c|d1_S_c,c,d1_SN_c,d1_S_c,NDIF,1,0.4073,0.9954,0.4073,0.9954,,0,,0.8860
Llama-3.1-405B,main,d1_SN_c|d1_W_c,c,d1_SN_c,d1_W_c,NDIF,1,0.4073,0.9990,0.4073,0.9990,,0,,0.9926
Llama-3.1-405B,main,d1_SS_a|d1_D12_a,a,d1_SS_a,d1_D12_a,NDIF,1,0.0001,0.4688,0.0001,0.4688,0.2344,1,d1_D12_a,0.9736
Llama-3.1-405B,main,d1_SS_a|d1_D4_a,a,d1_SS_a,d1_D4_a,NDIF,1,0.0001,0.9526,0.0001,0.9526,,0,,1.0000
Llama-3.1-405B,main,d1_SS_a|d1_Lp_a,a,d1_SS_a,d1_Lp_a,NDIF,1,0.0110,0.9998,0.0110,0.9998,,0,,1.0000
Llama-3.1-405B,main,d1_SS_a|d1_S_a,a,d1_SS_a,d1_S_a,NDIF,1,0.6792,0.9914,0.6792,0.9914,0.8353,1,d1_SS_a,0.8889
Llama-3.1-405B,main,d1_SS_b|d1_D12_b,b,d1_SS_b,d1_D12_b,NDIF,1,0.0000,0.0003,0.0000,0.0003,0.0002,1,d1_D12_b,1.0000
Llama-3.1-405B,main,d1_SS_b|d1_D4_b,b,d1_SS_b,d1_D4_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_D4_b,1.0000
Llama-3.1-405B,main,d1_SS_b|d1_Lp_b,b,d1_SS_b,d1_Lp_b,NDIF,1,0.0002,0.9740,0.0002,0.9740,,0,,1.0000
Llama-3.1-405B,main,d1_SS_b|d1_S_b,b,d1_SS_b,d1_S_b,NDIF,1,0.0141,0.0025,0.0141,0.0025,0.0083,1,d1_S_b,1.0000
Llama-3.1-405B,main,d1_SS_c|d1_D12_c,c,d1_SS_c,d1_D12_c,NDIF,1,0.0013,0.5000,0.0013,0.5000,,0,,0.9502
Llama-3.1-405B,main,d1_SS_c|d1_D4_c,c,d1_SS_c,d1_D4_c,NDIF,1,0.0000,0.0059,0.0000,0.0059,0.0030,1,d1_D4_c,0.9999
Llama-3.1-405B,main,d1_SS_c|d1_Lp_c,c,d1_SS_c,d1_Lp_c,NDIF,1,0.0002,0.9992,0.0002,0.9992,,0,,1.0000
Llama-3.1-405B,main,d1_SS_c|d1_S_c,c,d1_SS_c,d1_S_c,NDIF,1,0.4073,0.9707,0.4073,0.9707,,0,,0.8534
Llama-3.1-405B,main,d1_S_a|d1_D12_a,a,d1_S_a,d1_D12_a,NDIF,1,0.0001,0.3775,0.0001,0.3775,0.1888,1,d1_D12_a,0.9366
Llama-3.1-405B,main,d1_S_a|d1_D4_a,a,d1_S_a,d1_D4_a,NDIF,1,0.0001,0.8808,0.0001,0.8808,,0,,1.0000
Llama-3.1-405B,main,d1_S_b|d1_D12_b,b,d1_S_b,d1_D12_b,NDIF,1,0.0001,0.0032,0.0001,0.0032,0.0016,1,d1_D12_b,1.0000
Llama-3.1-405B,main,d1_S_b|d1_D4_b,b,d1_S_b,d1_D4_b,NDIF,1,0.0000,0.0000,0.0000,0.0000,0.0000,1,d1_D4_b,1.0000
Llama-3.1-405B,main,d1_S_c|d1_D12_c,c,d1_S_c,d1_D12_c,NDIF,1,0.0004,0.4688,0.0004,0.4688,0.2346,1,d1_D12_c,0.8892
Llama-3.1-405B,main,d1_S_c|d1_D4_c,c,d1_S_c,d1_D4_c,NDIF,1,0.0000,0.0124,0.0000,0.0124,0.0062,1,d1_D4_c,1.0000
Llama-3.1-405B,main,d1_W_a|d1_D12_a,a,d1_W_a,d1_D12_a,NDIF,1,0.0006,0.9914,0.0006,0.9914,,0,,1.0000
Llama-3.1-405B,main,d1_W_a|d1_D4_a,a,d1_W_a,d1_D4_a,NDIF,1,0.0001,0.6792,0.0001,0.6792,,0,,1.0000
Llama-3.1-405B,main,d1_W_a|d1_Lp_a,a,d1_W_a,d1_Lp_a,NDIF,1,0.0124,0.9999,0.0124,0.9999,,0,,1.0000
Llama-3.1-405B,main,d1_W_a|d1_M_a,a,d1_W_a,d1_M_a,NDIF,1,0.0474,0.9987,0.0474,0.9987,,0,,1.0000
Llama-3.1-405B,main,d1_W_a|d1_SS_a,a,d1_W_a,d1_SS_a,NDIF,1,0.0159,0.9996,0.0159,0.9996,,0,,1.0000
Llama-3.1-405B,main,d1_W_a|d1_S_a,a,d1_W_a,d1_S_a,NDIF,1,0.5927,0.9997,0.5927,0.9997,0.7962,1,d1_W_a,0.8968
Llama-3.1-405B,main,d1_W_b|d1_D12_b,b,d1_W_b,d1_D12_b,NDIF,1,0.0124,0.9890,0.0124,0.9890,,0,,1.0000
Llama-3.1-405B,main,d1_W_b|d1_D4_b,b,d1_W_b,d1_D4_b,NDIF,1,0.0000,0.0001,0.0000,0.0001,0.0001,1,d1_D4_b,1.0000
Llama-3.1-405B,main,d1_W_b|d1_Lp_b,b,d1_W_b,d1_Lp_b,NDIF,1,0.0086,0.9941,0.0086,0.9941,,0,,1.0000
Llama-3.1-405B,main,d1_W_b|d1_M_b,b,d1_W_b,d1_M_b,NDIF,1,0.7058,1.0000,0.7058,1.0000,0.8529,1,d1_W_b,1.0000
Llama-3.1-405B,main,d1_W_b|d1_SS_b,b,d1_W_b,d1_SS_b,NDIF,1,0.9997,1.0000,0.9997,1.0000,0.9999,1,d1_W_b,1.0000
Llama-3.1-405B,main,d1_W_b|d1_S_b,b,d1_W_b,d1_S_b,NDIF,1,0.5622,0.9999,0.5622,0.9999,0.7811,1,d1_W_b,0.9998
Llama-3.1-405B,main,d1_W_c|d1_D12_c,c,d1_W_c,d1_D12_c,NDIF,1,0.0028,0.5312,0.0028,0.5312,,0,,0.9974
Llama-3.1-405B,main,d1_W_c|d1_D4_c,c,d1_W_c,d1_D4_c,NDIF,1,0.0001,0.0159,0.0001,0.0159,0.0080,1,d1_D4_c,1.0000
Llama-3.1-405B,main,d1_W_c|d1_Lp_c,c,d1_W_c,d1_Lp_c,NDIF,1,0.0006,0.9998,0.0006,0.9998,,0,,1.0000
Llama-3.1-405B,main,d1_W_c|d1_M_c,c,d1_W_c,d1_M_c,NDIF,1,0.0124,0.9859,0.0124,0.9859,,0,,0.9998
Llama-3.1-405B,main,d1_W_c|d1_SS_c,c,d1_W_c,d1_SS_c,NDIF,1,0.0601,0.9579,0.0601,0.9579,,0,,0.9976
Llama-3.1-405B,main,d1_W_c|d1_S_c,c,d1_W_c,d1_S_c,NDIF,1,0.4378,0.9841,0.4378,0.9841,,0,,0.8318
Llama-3.1-70B,constructed,d1_F-A-D_a|d1_F-A-P_a,a,d1_F-A-D_a,d1_F-A-P_a,NDIF,1,0.9941,0.2227,0.9941,0.2227,,0,,0.9963
Llama-3.1-70B,constructed,d1_F-A-D_b|d1_F-A-P_b,b,d1_F-A-D_b,d1_F-A-P_b,NDIF,1,0.9466,0.0953,0.9466,0.0953,,0,,0.9960
Llama-3.1-70B,constructed,d1_F-A-D_c|d1_F-A-P_c,c,d1_F-A-D_c,d1_F-A-P_c,NDIF,1,0.9954,0.1824,0.9954,0.1824,,0,,0.9923
Llama-3.1-70B,constructed,d1_F-A-N_a|d1_F-A-D_a,a,d1_F-A-N_a,d1_F-A-D_a,NDIF,1,0.7311,0.0013,0.7311,0.0013,,0,,0.9990
Llama-3.1-70B,constructed,d1_F-A-N_a|d1_F-A-P_a,a,d1_F-A-N_a,d1_F-A-P_a,NDIF,1,0.7058,0.0032,0.7058,0.0032,,0,,0.9979
Llama-3.1-70B,constructed,d1_F-A-N_b|d1_F-A-D_b,b,d1_F-A-N_b,d1_F-A-D_b,NDIF,1,0.3775,0.0028,0.3775,0.0028,0.1902,1,d1_F-A-D_b,0.9970
Llama-3.1-70B,constructed,d1_F-A-N_b|d1_F-A-P_b,b,d1_F-A-N_b,d1_F-A-P_b,NDIF,1,0.0331,0.0032,0.0331,0.0032,0.0181,1,d1_F-A-P_b,0.9999
Llama-3.1-70B,constructed,d1_F-A-N_c|d1_F-A-D_c,c,d1_F-A-N_c,d1_F-A-D_c,NDIF,1,0.7773,0.0009,0.7773,0.0009,,0,,0.9977
Llama-3.1-70B,constructed,d1_F-A-N_c|d1_F-A-P_c,c,d1_F-A-N_c,d1_F-A-P_c,NDIF,1,0.2942,0.0076,0.2942,0.0076,0.1509,1,d1_F-A-P_c,0.9990
Llama-3.1-70B,constructed,d1_F-L-D_a|d1_F-A-D_a,a,d1_F-L-D_a,d1_F-A-D_a,NDIF,1,0.0067,0.0052,0.0067,0.0052,0.0060,1,d1_F-A-D_a,0.9998
Llama-3.1-70B,constructed,d1_F-L-D_a|d1_F-A-N_a,a,d1_F-L-D_a,d1_F-A-N_a,NDIF,1,0.0331,0.1192,0.0331,0.1192,0.0761,1,d1_F-A-N_a,0.9973
Llama-3.1-70B,constructed,d1_F-L-D_a|d1_F-A-P_a,a,d1_F-L-D_a,d1_F-A-P_a,NDIF,1,0.0331,0.1824,0.0331,0.1824,0.1078,1,d1_F-A-P_a,0.9962
Llama-3.1-70B,constructed,d1_F-L-D_a|d1_F-L-P_a,a,d1_F-L-D_a,d1_F-L-P_a,NDIF,1,0.8933,0.9740,0.8933,0.9740,0.9337,1,d1_F-L-D_a,0.9956
Llama-3.1-70B,constructed,d1_F-L-D_b|d1_F-A-D_b,b,d1_F-L-D_b,d1_F-A-D_b,NDIF,1,0.0002,0.1824,0.0002,0.1824,0.0913,1,d1_F-A-D_b,0.9998
Llama-3.1-70B,constructed,d1_F-L-D_b|d1_F-A-N_b,b,d1_F-L-D_b,d1_F-A-N_b,NDIF,1,0.0067,0.9948,0.0067,0.9948,,0,,1.0000
Llama-3.1-70B,constructed,d1_F-L-D_b|d1_F-A-P_b,b,d1_F-L-D_b,d1_F-A-P_b,NDIF,1,0.0004,0.9820,0.0004,0.9820,,0,,0.9999
Llama-3.1-70B,constructed,d1_F-L-D_b|d1_F-L-P_b,b,d1_F-L-D_b,d1_F-L-P_b,NDIF,1,0.8670,0.9985,0.8670,0.9985,0.9328,1,d1_F-L-D_b,0.9998
Llama-3.1-70B,constructed,d1_F-L-D_c|d1_F-A-D_c,c,d1_F-L-D_c,d1_F-A-D_c,NDIF,1,0.0124,0.0046,0.0124,0.0046,0.0085,1,d1_F-A-D_c,0.9996
Llama-3.1-70B,constructed,d1_F-L-D_c|d1_F-A-N_c,c,d1_F-L-D_c,d1_F-A-N_c,NDIF,1,0.0851,0.0601,0.0851,0.0601,0.0726,1,d1_F-A-N_c,0.9913
Llama-3.1-70B,constructed,d1_F-L-D_c|d1_F-A-P_c,c,d1_F-L-D_c,d1_F-A-P_c,NDIF,1,0.0373,0.0953,0.0373,0.0953,0.0663,1,d1_F-A-P_c,0.9815
Llama-3.1-70B,constructed,d1_F-L-D_c|d1_F-L-P_c,c,d1_F-L-D_c,d1_F-L-P_c,NDIF,1,0.9047,0.9526,0.9047,0.9526,0.9286,1,d1_F-L-D_c,0.9835
Llama-3.1-70B,constructed,d1_F-L-N_a|d1_F-A-D_a,a,d1_F-L-N_a,d1_F-A-D_a,NDIF,1,0.0005,0.0004,0.0005,0.0004,0.0005,1,d1_F-A-D_a,1.0000
Llama-3.1-70B,constructed,d1_F-L-N_a|d1_F-A-N_a,a,d1_F-L-N_a,d1_F-A-N_a,NDIF,1,0.0036,0.0036,0.0036,0.0036,0.0036,1,d1_F-A-N_a,0.9999
Llama-3.1-70B,constructed,d1_F-L-N_a|d1_F-A-P_a,a,d1_F-L-N_a,d1_F-A-P_a,NDIF,1,0.0032,0.0041,0.0032,0.0041,0.0036,1,d1_F-A-P_a,0.9998
Llama-3.1-70B,constructed,d1_F-L-N_a|d1_F-L-D_a,a,d1_F-L-N_a,d1_F-L-D_a,NDIF,1,0.0159,0.0373,0.0159,0.0373,0.0266,1,d1_F-L-D_a,0.9995
Llama-3.1-70B,constructed,d1_F-L-N_a|d1_F-L-P_a,a,d1_F-L-N_a,d1_F-L-P_a,NDIF,1,0.0953,0.4378,0.0953,0.4378,0.2666,1,d1_F-L-P_a,0.9947
Llama-3.1-70B,constructed,d1_F-L-N_b|d1_F-A-D_b,b,d1_F-L-N_b,d1_F-A-D_b,NDIF,1,0.0000,0.0004,0.0000,0.0004,0.0002,1,d1_F-A-D_b,1.0000
Llama-3.1-70B,constructed,d1_F-L-N_b|d1_F-A-N_b,b,d1_F-L-N_b,d1_F-A-N_b,NDIF,1,0.0003,0.0086,0.0003,0.0086,0.0044,1,d1_F-A-N_b,0.9999
Llama-3.1-70B,constructed,d1_F-L-N_b|d1_F-A-P_b,b,d1_F-L-N_b,d1_F-A-P_b,NDIF,1,0.0001,0.0017,0.0001,0.0017,0.0009,1,d1_F-A-P_b,1.0000
Llama-3.1-70B,constructed,d1_F-L-N_b|d1_F-L-D_b,b,d1_F-L-N_b,d1_F-L-D_b,NDIF,1,0.0006,0.0159,0.0006,0.0159,0.0083,1,d1_F-L-D_b,0.9998
Llama-3.1-70B,constructed,d1_F-L-N_b|d1_F-L-P_b,b,d1_F-L-N_b,d1_F-L-P_b,NDIF,1,0.0110,0.5927,0.0110,0.5927,,0,,0.9993
Llama-3.1-70B,constructed,d1_F-L-N_c|d1_F-A-D_c,c,d1_F-L-N_c,d1_F-A-D_c,NDIF,1,0.0007,0.0006,0.0007,0.0006,0.0006,1,d1_F-A-D_c,0.9999
Llama-3.1-70B,constructed,d1_F-L-N_c|d1_F-A-N_c,c,d1_F-L-N_c,d1_F-A-N_c,NDIF,1,0.0046,0.0046,0.0046,0.0046,0.0046,1,d1_F-A-N_c,0.9996
Llama-3.1-70B,constructed,d1_F-L-N_c|d1_F-A-P_c,c,d1_F-L-N_c,d1_F-A-P_c,NDIF,1,0.0028,0.0041,0.0028,0.0041,0.0034,1,d1_F-A-P_c,0.9995
Llama-3.1-70B,constructed,d1_F-L-N_c|d1_F-L-D_c,c,d1_F-L-N_c,d1_F-L-D_c,NDIF,1,0.0110,0.0675,0.0110,0.0675,0.0393,1,d1_F-L-D_c,0.9992
Llama-3.1-70B,constructed,d1_F-L-N_c|d1_F-L-P_c,c,d1_F-L-N_c,d1_F-L-P_c,NDIF,1,0.2018,0.1480,0.2018,0.1480,0.1749,1,d1_F-L-P_c,0.9806
Llama-3.1-70B,constructed,d1_F-L-P_a|d1_F-A-D_a,a,d1_F-L-P_a,d1_F-A-D_a,NDIF,1,0.0010,0.0025,0.0010,0.0025,0.0018,1,d1_F-A-D_a,0.9998
Llama-3.1-70B,constructed,d1_F-L-P_a|d1_F-A-N_a,a,d1_F-L-P_a,d1_F-A-N_a,NDIF,1,0.0110,0.0230,0.0110,0.0230,0.0170,1,d1_F-A-N_a,0.9981
